"","seqtaball","seqtabmergednoc"
"NY14",9422,8431
"NY14post",5157,4366
"NY16",4832,4237
"NY16post",8630,6533
"NY17",15634,12850
"NY17point5",10658,9336
"NY17point5post",10146,7381
"NY17post",17257,11133
"NY18",9678,8292
"NY18post",12110,7323
"NY19",13239,10686
"NY19post",24999,17397
"NY1post",18915,13697
"NY2",12143,9862
"NY20",13501,10210
"NY20post",15701,10294
"NY21",11627,9564
"NY21post",15329,10180
"NY22",12640,10460
"NY22post",21453,15115
"NY23",11266,9113
"NY23post",18592,12435
"NY24",18642,13880
"NY24post",13275,8858
"NY25",11607,10187
"NY25post",12805,8895
"NY26",10645,9372
"NY26post",14030,10413
"NY27",14864,12642
"NY27post",13731,9299
"NY28",11142,9092
"NY28post",9242,6615
"NY29",11329,9865
"NY29post",7335,5254
"NY2post",23030,16136
"NY3",5518,4842
"NY30",13569,11831
"NY30post",12511,9111
"NY31",14250,10963
"NY31post",16728,10581
"NY32",14789,11466
"NY32post",16759,11617
"NY3post",15697,11360
"NY4",9937,7605
"NY4post",11156,6862
"NY5",13698,11314
"NY5post",7414,5845
"NY6",11722,9506
"NY6post",14214,10162
"NY7",17243,14312
"NY7post",22345,15482
"NY8",20812,17011
"NY8post",17373,12253
"NY9",15736,13349
"NY9post",24615,16450
"NYBlankA",20949,20825
"NYBlankB",22327,22307
"B1swab",27371,27121
"B2swab",4173,4121
"B3swab",12014,11960
"B4swab",13196,12732
"B5swab",12676,12395
"B6swab",20387,20251
"B7swab",22202,21553
"C1swab",18937,12584
"C2swab",27260,26328
"C3swab",29109,14749
"C4swab",19518,19018
"C5swab",15332,15014
"C6swab",29653,25934
"C7swab",19887,19363
"C8swab",327,311
"C9swab",9220,9119
"EUM1swab",24750,23411
"EUM2swab",26325,25015
"EUM3swab",11578,11470
"EUM4swab",29455,28435
"EUN1",1632,1579
"EUN10",20651,15844
"EUN10post",17125,10840
"EUN11",98,98
"EUN11post",25573,19958
"EUN12",26989,23582
"EUN12post",16533,11995
"EUN13",25053,21231
"EUN13post",21386,16962
"EUN14",18084,14539
"EUN14post",17577,11013
"EUN15",1874,1782
"EUN15post",19660,13232
"EUN16",32142,23517
"EUN16post",299,285
"EUN17",18787,15497
"EUN17post",20638,11874
"EUN18",25206,18540
"EUN18post",27460,17764
"EUN19",20456,15315
"EUN19post",28262,15534
"EUN1BAITTANKswab",33657,30180
"EUN1post",25871,22000
"EUN20",11804,8484
"EUN20post",16634,10832
"EUN21",23384,16657
"EUN21post",6275,6273
"EUN22",23683,18746
"EUN22post",17366,10900
"EUN23",18954,13008
"EUN23post",21016,13180
"EUN24",18694,13075
"EUN24post",11106,7675
"EUN25",20560,14335
"EUN25post",36183,24706
"EUN26",17656,13388
"EUN26post",17356,12410
"EUN27",29513,21391
"EUN27post",18937,11881
"EUN28",25521,19110
"EUN28post",27660,25615
"EUN29",2173,2115
"EUN29post",23765,13194
"EUN2BACKswab",13845,13725
"EUN2post",1380,1341
"EUN3",23192,20303
"EUN3post",20028,17425
"EUN3RIGHTBACKswab",13596,12944
"EUN4RIGHTFRONTswab",39014,38462
"EUN5",39713,35701
"EUN5DECKswab",79385,78036
"EUN5POINT5",25424,21314
"EUN5POINT5post",25266,21004
"EUN5post",32336,26775
"EUN6",39872,39075
"EUN6LBACKswab",101586,99676
"EUN6post",27377,19768
"EUN7",29183,22758
"EUN7post",24420,15611
"EUN8",23542,17049
"EUN8post",22154,14977
"EUN9",20526,15072
"EUN9post",25481,16871
"EUNBILGEA",23946,14579
"EUNBILGEApost",1485,1244
"EUR1",24705,20546
"EUR10",16421,14216
"EUR10post",46602,28292
"EUR11",35422,29221
"EUR11post",24211,15455
"EUR12",20223,17281
"EUR12post",22324,14754
"EUR13",953,936
"EUR13-5",15530,13032
"EUR13-5post",619,592
"EUR13post",35282,21324
"EUR15",14616,10930
"EUR15post",19847,13389
"EUR16",16215,12411
"EUR16post",27785,16742
"EUR17",13696,10479
"EUR17post",8025,5581
"EUR18",13887,10553
"EUR18post",9776,6680
"EUR19",18314,11997
"EUR19post",24352,14639
"EUR1post",31582,15522
"EUR2",24412,22953
"EUR20",15777,12337
"EUR20post",23636,14609
"EUR21",20913,12313
"EUR21post",24393,15217
"EUR22",18994,14387
"EUR22post",20290,13951
"EUR23",23015,16003
"EUR23post",20490,13249
"EUR24",31069,21258
"EUR24post",23651,14866
"EUR25",29221,18401
"EUR25post",15772,9733
"EUR26",21681,15115
"EUR26post",28780,18017
"EUR27",15512,11073
"EUR27post",13264,9117
"EUR28post",17211,17050
"EUR29",13758,9645
"EUR29post",15680,10177
"EUR2POINT5",23322,18199
"EUR2POINT5post",17766,11051
"EUR2post",18891,12260
"EUR3",20052,16632
"EUR30",16633,12506
"EUR30post",1403,1398
"EUR31",21817,16846
"EUR31post",18568,12038
"EUR32",18201,15180
"EUR32post",25670,15614
"EUR3LEFTFRONTswab",16024,15846
"EUR3post",17116,10016
"EUR4FLOORswab",13412,9569
"EUR5",14238,11532
"EUR5BACKswab",28531,17205
"EUR5post",11859,7339
"EUR6",16228,13296
"EUR6BACKFLOORswab",25148,21196
"EUR6post",21550,12850
"EUR7",18192,14442
"EUR7post",24134,15044
"EUR7swab",9996,9937
"EUR8",16653,14144
"EUR8post",21179,13251
"EUR9",15269,12575
"EUR9post",25717,14827
"EURBALLASTA",339,337
"EURBALLASTApost",4000,3945
"EURBILGEA",20270,18752
"EURBILGEApost",42257,30528
"EURS1swab",2116,2071
"EURS2swab",9912,9505
"EUW1",4820,4306
"EUW10",19828,15936
"EUW10post",42066,32939
"EUW11",16652,13149
"EUW11post",26012,20222
"EUW12",10410,8763
"EUW12post",19381,15508
"EUW13",25787,23214
"EUW13post",50591,36781
"EUW14",16151,13187
"EUW14post",15529,12700
"EUW15post",16009,12796
"EUW16",24787,20737
"EUW17",20883,16518
"EUW17post",23641,17630
"EUW18",23603,17944
"EUW18post",45089,31879
"EUW19",28814,22928
"EUW19post",43527,29961
"EUW1post",4282,3921
"EUW1swab",20278,19767
"EUW2",27429,24067
"EUW20",22900,19425
"EUW20post",16401,11923
"EUW21",19152,16109
"EUW21post",39114,26715
"EUW22",35730,29839
"EUW22post",33314,23859
"EUW23",30757,26137
"EUW23post",41793,31792
"EUW24",21430,18045
"EUW24post",23637,18014
"EUW25",26095,20468
"EUW25post",40019,29215
"EUW26",1905,1746
"EUW26post",29032,21167
"EUW27",40388,32683
"EUW27post",1387,1355
"EUW28",21424,20904
"EUW28post",25107,19020
"EUW29",10767,9349
"EUW29post",25831,20972
"EUW2post",28324,23195
"EUW2swab",44529,36313
"EUW2xns",16516,12902
"EUW3",10971,9766
"EUW30ns",26841,22927
"EUW30nspost",32106,24219
"EUW31ns",27907,22950
"EUW32",32840,26478
"EUW32post",44995,31465
"EUW3post",14694,12020
"EUW3swab",22811,20548
"EUW3xns",33510,22913
"EUW4",23677,21509
"EUW4post",32331,28903
"EUW4swab",33757,30512
"EUW5",22193,18916
"EUW5post",49029,42028
"EUW5swab",35836,29284
"EUW6",24738,21044
"EUW6post",60891,46240
"EUW6swab",32609,31167
"EUW7",27233,24151
"EUW8post",28264,21282
"EUW9",21462,17837
"EUW9post",17798,14685
"EUWblankA",28814,27742
"G1swab",1090,1075
"G2swab",24417,12724
"G3swab",25843,24982
"G4swab",28850,28021
"G5swab",27914,26451
"G6swab",41333,40538
"G7swab",14787,14544
"NEGCONTROLH2Oa",54,54
"NEW1",20162,17828
"NEW10",10303,9256
"NEW10post",25014,16871
"NEW11",10051,9493
"NEW11post",16383,11860
"NEW12",13189,11480
"NEW12post",28434,19123
"NEW13",20435,17905
"NEW13post",27146,18450
"NEW14",24578,22075
"NEW14post",36817,24447
"NEW15",16061,13711
"NEW15post",33723,23426
"NEW16",11180,10270
"NEW16post",26421,17315
"NEW17",17898,15352
"NEW17post",27870,18906
"NEW18",30197,28731
"NEW18post",27586,19485
"NEW19",8754,7973
"NEW19post",11872,8714
"NEW1post",19361,13834
"NEW2",17607,15495
"NEW20",19427,17259
"NEW20post",22436,15052
"NEW21",1665,1650
"NEW21post",6003,4528
"NEW22",11694,11068
"NEW22post",18626,12814
"NEW23",9291,8408
"NEW23post",8090,7296
"NEW24",15970,14045
"NEW24post",10420,8658
"NEW25",20538,18609
"NEW25post",25578,20397
"NEW26",24102,22169
"NEW26post",42672,33706
"NEW27",25254,20349
"NEW27post",22934,17987
"NEW28",12325,11122
"NEW28post",29379,22465
"NEW29",30759,27447
"NEW29post",32980,27313
"NEW2post",42268,27829
"NEW3",13747,12796
"NEW30",26314,23420
"NEW30post",13261,11443
"NEW31",9256,8002
"NEW31post",10687,9127
"NEW3post",29630,20666
"NEW4",20754,18472
"NEW4post",23061,15950
"NEW5",11587,10496
"NEW5post",20541,14630
"NEW6",11903,10724
"NEW6post",39568,27289
"NEW7",5360,5177
"NEW7post",13036,9464
"NEW8",18773,16425
"NEW8post",38580,26237
"NEW9",1946,1923
"NEW9post",13244,9506
"NEWBILGE",11769,10911
"NEWBILGEpost",25975,20124
"NO1FRONTLEFTswab",56079,55432
"NO2BACKLEFTswab",47578,45476
"NO3BACKRIGHTswab",47197,45999
"NO4BACKRIGHTswab",7980,7851
"NOF1",21013,16989
"NOF10",20043,16206
"NOF10post",18157,14531
"NOF11",21039,16005
"NOF11post",14627,10963
"NOF12",24227,18245
"NOF12post",16383,11838
"NOF13",18360,14861
"NOF13post",13778,10445
"NOF14",18771,16311
"NOF14post",17714,13253
"NOF15",19538,16070
"NOF15post",16486,12633
"NOF16",16886,14084
"NOF16post",17807,13135
"NOF17",9591,8375
"NOF17post",9812,8036
"NOF18",10404,8882
"NOF18post",11297,8976
"NOF19",12615,10979
"NOF19post",15371,11525
"NOF1post",22060,17237
"NOF1swab",11812,11184
"NOF2",23558,18089
"NOF20",13373,11294
"NOF20post",10442,8657
"NOF21",18811,14644
"NOF21post",26207,19460
"NOF22",22390,17700
"NOF22post",16604,12582
"NOF23",20711,16587
"NOF23post",30079,21191
"NOF24",19583,15422
"NOF24post",30227,21989
"NOF25",19666,16008
"NOF25post",22525,16553
"NOF26",17147,14028
"NOF26post",23771,19545
"NOF27",17143,14020
"NOF27post",14501,12194
"NOF28",26506,20050
"NOF28post",32365,24792
"NOF29",12007,10069
"NOF29post",11337,10072
"NOF2post",11587,8978
"NOF2swab",13755,13258
"NOF3",30237,22203
"NOF30",12010,10017
"NOF30post",9626,8388
"NOF3post",16847,13264
"NOF3swab",21212,20580
"NOF4",12189,10481
"NOF4post",30994,23723
"NOF4swab",17839,17495
"NOF5",17209,13706
"NOF5post",13113,10917
"NOF5swab",4718,4549
"NOF6",15617,12680
"NOF6post",5446,4893
"NOF6swab",14650,14010
"NOF7",23438,18578
"NOF7post",13398,10755
"NOF7swab",33208,31770
"NOF8",14919,12363
"NOF8post",8690,7441
"NOF8swab",13778,13183
"NOF9",15870,13052
"NOF9post",17,17
"NY1RIGHTswab",33100,32914
"NY2RIGHTBACKswab",14380,14287
"NY3RIGHTDECKswab",11344,10915
"NY4BILGEAswab",27008,20246
"NY5LAswab",5269,5032
"NY6LBswab",20450,20204
"NY7BILGEBswab",32315,19593
"NY8LDECKswab",13809,13317
"V1swab",24910,24820
"V2swab",59761,54800
"V3swab",27218,27045
"V4swab",61362,60806
"V5swab",26832,26612
"V6swab",36538,26644
"V7swab",20515,20436
"V8swab",13096,13009
