"","seqtaball","seqtabmergednoc"
"KEW13post",8930,7685
"KEW14",27042,23763
"KEW14post",34336,28967
"KEW15",23927,22147
"KEW15post",29127,19368
"KEW16",11616,10020
"KEW16post",20621,16792
"KEW17",8470,7593
"KEW17post",13350,10736
"KEW18",2956,2937
"KEW18post",14100,12050
"KEW19",8076,7619
"KEW19post",19538,15192
"KEW1post",20443,16150
"KEW2",30278,27603
"KEW20",26447,25785
"KEW20post",21265,15851
"KEW21",15442,13501
"KEW22",62251,59682
"KEW22post",24373,21052
"KEW23",20402,14796
"KEW23post",13943,12364
"KEW24",16773,15723
"KEW24post",11190,9263
"KEW25",15146,13290
"KEW25post",29622,25047
"KEW26",13482,11864
"KEW26post",22698,19419
"KEW27",14995,13638
"KEW27post",17270,14774
"KEW28",19133,16524
"KEW28post",29758,26429
"KEW29",19305,15460
"KEW29post",16603,13742
"KEW2post",18643,16669
"KEW3",7505,7379
"KEW30",19073,16034
"KEW30post",25126,22747
"KEW31",19122,16741
"KEW31post",23855,20571
"KEW32",17319,15425
"KEW32post",16573,14328
"KEW33",14881,13164
"KEW33post",25434,19886
"KEW34",25844,25346
"KEW34post",27036,20665
"KEW35",3029,2907
"KEW35post",21259,16600
"KEW36",16140,14903
"KEW36post",26750,20871
"KEW37",23397,17897
"KEW37post",30997,28925
"KEW38",19210,15784
"KEW38post",9406,9283
"KEW3post",21205,15230
"KEW4",13094,11760
"KEW4post",23586,17794
"KEW5",16571,13296
"KEW5post",1764,1758
"KEW6",31290,26164
"KEW6post",36128,27087
"KEW7",4899,4360
"KEW7post",22896,18312
"KEW8",23873,18912
"KEW8post",31700,22376
"KEW9",5242,5020
"KEW9post",7387,5921
"KEWTECHTSUMMERBILGE",14698,10658
"KEWTECHTSUMMERBILGEpost",17297,16214
"LA1",19436,17103
"LA10",10188,8950
"LA10post",3731,3638
"LA11",26110,23600
"LA12",29668,29485
"LA12post",13551,11321
"LA13",21740,21575
"LA13post",2289,2279
"LA14",19058,18175
"LA14post",14061,12508
"LA15",14286,13331
"LA15post",11006,8931
"LA16",26885,25768
"LA16post",22485,20488
"LA17",19817,17842
"LA17post",13886,11580
"LA18",5829,5176
"LA18post",5354,5034
"LA19post",5608,4409
"LA1post",29984,25504
"LA2",15714,14458
"LA20",7965,7900
"LA20post",2791,2405
"LA21",20229,19011
"LA21post",12399,11313
"LA22",4516,4078
"LA22post",3904,3112
"LA23",3613,3400
"LA23post",11242,9385
"LA24",19074,16321
"LA24post",9630,9309
"LA25post",39030,32592
"LA26post",18015,14946
"LA27",10594,8568
"LA27post",17086,14477
"LA28",17194,14670
"LA28post",29468,27078
"LA29",26056,21183
"LA29post",23867,22229
"LA2post",25735,25673
"LA3",16760,15363
"LA30",9252,8141
"LA30post",13488,12421
"LA31",15535,12743
"LA31post",15340,13026
"LA32",6725,6115
"LA32post",6900,6666
"LA33",14403,12275
"LA33post",17109,16066
"LA34",10635,8839
"LA34post",15874,14899
"LA3post",11351,10371
"LA4",18164,15875
"LA4post",20029,18343
"LA5",13822,11565
"LA5post",31700,31602
"LA6",7689,7108
"LA6post",10014,9122
"LA7",12147,10492
"LA7post",14968,13078
"LA8",4463,4196
"LA8post",7069,6552
"LA9",10752,9522
"LA9post",10267,8606
"LABILGE",20248,11622
"LABILGEpost",16148,10900
"NEGCONTROL",2501,2501
"NEGCONTROLpost",212,203
"OAK1",3657,3418
"OAK10",20933,18541
"OAK10post",13877,11515
"OAK11",10165,7506
"OAK11post",18153,15200
"OAK12",21992,20782
"OAK12post",4467,4021
"OAK14",18671,9903
"OAK14post",6600,5113
"OAK15",17197,12816
"OAK15post",5551,4960
"OAK16",15505,11406
"OAK16post",9985,8110
"OAK17",14283,11503
"OAK17post",11519,9342
"OAK18",19845,18053
"OAK18post",14967,11510
"OAK19",18991,17904
"OAK19post",18345,16670
"OAK1post",7234,6038
"OAK2",13647,11089
"OAK20",16955,14434
"OAK20post",24071,18205
"OAK21",17333,13939
"OAK21post",19398,16070
"OAK22",14437,11171
"OAK22post",15100,12126
"OAK23",12989,10465
"OAK23post",17423,13386
"OAK24",12241,10111
"OAK24post",29917,25335
"OAK25",23614,20544
"OAK25post",22459,19554
"OAK26",6353,4994
"OAK26post",8695,7700
"OAK27",17763,15925
"OAK27post",9555,7296
"OAK28",14018,11287
"OAK28post",6146,5443
"OAK29",11429,9885
"OAK29post",9612,7679
"OAK2post",10329,8800
"OAK3",5539,4829
"OAK30",16513,12903
"OAK30post",20121,15810
"OAK31",23681,19517
"OAK31post",23155,19304
"OAK3post",8408,6841
"OAK4",12162,9953
"OAK4post",17088,14903
"OAK5",14072,12509
"OAK5post",14844,12529
"OAK6",18873,15677
"OAK6post",24896,20599
"OAK7",12024,9943
"OAK7post",17074,14389
"OAK9",26107,23970
"OAK9post",19337,15309
"OAKBILGE",17479,15611
"OAKBILGEpost",32371,22254
"SEA1",11828,10544
"SEA10",7498,6435
"SEA10post",5368,4660
"SEA11",11460,10260
"SEA11post",19279,17591
"SEA12",13395,11573
"SEA12post",29454,25294
"SEA13",11971,10482
"SEA13post",22122,19554
"SEA14",19357,16805
"SEA14post",19566,17170
"SEA15",19298,17340
"SEA15post",15118,13404
"SEA16",18804,15878
"SEA16post",26918,20770
"SEA17",22576,18653
"SEA17post",22178,19398
"SEA18",11114,9382
"SEA18post",17072,14096
"SEA19",17771,14163
"SEA19post",21744,18311
"SEA1post",19414,15440
"SEA2",21168,19069
"SEA20",6446,5693
"SEA20post",22929,18806
"SEA21",3700,3261
"SEA21post",22347,16966
"SEA22",15361,11733
"SEA22post",4402,3993
"SEA23",19183,14065
"SEA23post",9662,7523
"SEA24",12528,9452
"SEA24post",8257,6935
"SEA25",5468,4436
"SEA25post",21728,15871
"SEA26",12634,10111
"SEA26post",16771,11717
"SEA27",11051,9325
"SEA27post",15900,13055
"SEA28",18455,15020
"SEA28post",25760,20997
"SEA29",16212,13314
"SEA29post",19945,15802
"SEA2post",32808,26402
"SEA3",15024,13213
"SEA30",18807,15260
"SEA30post",18319,15187
"SEA3post",8285,7453
"SEA4",8591,7349
"SEA4post",18958,16353
"SEA5",14681,12940
"SEA5post",28656,24885
"SEA6",14869,12605
"SEA6post",22678,18083
"SEA7",7702,6725
"SEA7post",10732,8779
"SEA8",14111,11525
"SEA8post",32664,26414
"SEA9",2875,2547
"SEA9post",9933,7734
"SING1",20796,16395
"SING10",25695,19485
"SING10post",24562,20159
"SING11post",6526,5418
"SING12",23348,17127
"SING12post",18101,14848
"SING13",37562,29354
"SING13post",14097,10363
"SING14",31434,26839
"SING14post",10722,7807
"SING15",53443,42826
"SING15post",25324,17468
"SING16",22427,19032
"SING16post",26834,19662
"SING17",26631,21674
"SING17post",28884,20665
"SING18",17989,14965
"SING18post",18058,14271
"SING19",44704,43282
"SING19post",10765,9379
"SING1post",6696,6259
"SING2",4452,3863
"SING20",18119,16822
"SING20post",11955,7727
"SING21",16300,11831
"SING21post",9212,8205
"SING22",11995,8073
"SING22post",16759,13217
"SING23",20107,13991
"SING23post",31405,27184
"SING24",18461,13222
"SING24post",221,221
"SING25",102,102
"SING25post",44329,36084
"SING26",157,157
"SING26post",28007,18304
"SING27",21660,17201
"SING27post",20128,14486
"SING28",25230,20301
"SING28post",11058,9307
"SING29",25619,20258
"SING29post",33687,29508
"SING2post",23613,19608
"SING3",20569,12350
"SING30",13782,8884
"SING30post",13667,11522
"SING31",7722,6475
"SING31post",13410,12309
"SING32",16568,12153
"SING32post",15825,14568
"SING33",4957,3996
"SING33post",18394,15965
"SING3post",2353,2182
"SING4",10801,7776
"SING4post",34687,30375
"SING5",27395,17846
"SING5post",29720,24545
"SING6",23674,22917
"SING6post",26201,23598
"SING7",11907,9398
"SING7post",16401,13184
"SING8",21997,12688
"SING8post",19356,14011
"SING9",19589,13626
"SING9post",15483,13305
"SINGBILGE1",10968,9914
"SINGBILGE1post",29423,27271
"SINGBILGE2",18382,16781
"SINGBILGE2post",22839,20089
"SSWABEABR2",5908,5834
"SWABDSLD",16235,16090
"SWABDSRD",18735,13320
"SWABDULUTHLS",5818,5805
"SWABDULUTHRS",2288,2282
"SWABGBLD",11447,11395
"SWABGBLS",321,321
"SWABGBRD",22728,14333
"SWABGBRS",87281,86602
"SWABHKBL",20126,18371
"SWABHKBR",8561,8390
"SWABHKDECK",74863,73141
"SWABHKFL",26176,22959
"SWABHKFR",33321,32337
"SWABHKREALBACK",10319,10271
"SWABKEWBILGE",26746,20127
"SWABKEWBL",34538,32809
"SWABKEWBR",19483,19474
"SWABKEWDECK",23277,15785
"SWABKEWFL",8287,8254
"SWABKEWFR",42831,42043
"SWABLABL",7954,7950
"SWABLABR",4831,4826
"SWABLADECK",24331,21485
"SWABLAFL",57822,57197
"SWABLAFR",5094,5085
"SWABOAKBL1",82591,82245
"SWABOAKBL2",4263,4250
"SWABOAKBR1",36486,36409
"SWABOAKBR2",71822,71249
"SWABOAKDECK",17999,11701
"SWABSEABILGE1",21252,21160
"SWABSEABILGE2",48365,48033
"SWABSEABILGE3",23517,21781
"SWABSEABL1",92899,91538
"SWABSEABL2",69689,69281
"SWABSEABR",17326,17074
"SWABSEADECK",23342,23182
"SWABSINGBL",493,487
"SWABSINGBL2",5082,5065
"SWABSINGBR2A",11775,11753
"SWABSINGBR2B",154,154
"SWABSINGDECK",27705,26276
"SWABSINGDECK2",35774,35436
"SWABSINGFL",5350,5265
"SWABSINGFL2",3113,3069
"SWABSINGFR2A",8946,8871
"SWABSINGFR2B",294,294
"SWABSKORABILGE",33139,26258
"SWABSKORABL",44592,43884
"SWABSKOREABR",35621,35255
"SWABSKOREADECK",30930,28774
"SWABSKOREAFL",11582,11379
"SWABSKOREAFR",7302,7260
"BALT1",19173,15003
"BALT10",23329,18694
"BALT10post",16041,10945
"BALT11",26260,20001
"BALT11post",14422,9899
"BALT12",22108,16119
"BALT12post",16383,12516
"BALT13",21283,16874
"BALT13post",23138,15704
"BALT14",18127,14238
"BALT14post",8133,6004
"BALT15",8214,6819
"BALT15post",10377,7331
"BALT16",18717,14741
"BALT16post",17421,12329
"BALT17",12890,10097
"BALT17post",11133,8250
"BALT19",14644,8732
"BALT19post",26173,18191
"BALT1post",19641,13164
"BALT2",11681,10248
"BALT20",20522,16024
"BALT20post",13190,10545
"BALT21",17758,14198
"BALT21post",21612,15324
"BALT22",23424,18209
"BALT22post",22363,16080
"BALT23",19224,15094
"BALT23post",24166,16982
"BALT24",25365,19056
"BALT24post",22423,16570
"BALT25",21232,16482
"BALT25post",18517,12675
"BALT27",20427,16522
"BALT27post",18031,13515
"BALT28",12815,10677
"BALT28point5",13353,11894
"BALT28point5post",12912,10598
"BALT28post",14561,11624
"BALT29",29400,24212
"BALT29post",21509,17953
"BALT2post",12380,9387
"BALT3",14005,10961
"BALT30",11274,9819
"BALT30post",12726,10274
"BALT3post",7355,5573
"BALT4",13329,10849
"BALT4post",4051,3413
"BALT5",14404,11907
"BALT5post",14882,10712
"BALT6",17795,13947
"BALT6post",11397,7958
"BALT7",13905,10315
"BALT7post",23630,14894
"BALT8",13887,11206
"BALT8point5",17452,13184
"BALT8point5post",16038,11314
"BALT8post",13938,9388
"BALT9",16676,13056
"BALT9post",15936,10784
"CHA1",328,328
"CHA10",9003,7887
"CHA10post",7164,6491
"CHA11",6758,5802
"CHA11post",5422,5043
"CHA12",6141,5598
"CHA12post",10087,9002
"CHA13",8134,6363
"CHA13post",7549,6073
"CHA14",7842,6840
"CHA14post",7644,6459
"CHA15",2198,2122
"CHA15post",11744,9778
"CHA16",11227,9977
"CHA16post",324,324
"CHA17",13234,11323
"CHA17post",12005,9579
"CHA18",15170,13444
"CHA18post",20278,15991
"CHA19",15373,13125
"CHA19post",22048,18406
"CHA1post",8884,7489
"CHA2",3609,3335
"CHA20",6360,5767
"CHA20post",11282,9366
"CHA21",12384,10181
"CHA21post",14997,14823
"CHA22",15413,12525
"CHA22post",18314,16373
"CHA23",7935,7444
"CHA23post",9136,7790
"CHA24",10368,9248
"CHA24post",8567,8095
"CHA25",15602,14322
"CHA25post",5173,4110
"CHA26",16842,15987
"CHA26post",8910,7568
"CHA27",29409,20965
"CHA27post",6192,5560
"CHA28",18409,14816
"CHA28post",13175,10971
"CHA29",1242,1222
"CHA29post",17952,13717
"CHA2post",520,518
"CHA3",7256,6663
"CHA30",31993,26558
"CHA30post",2393,2374
"CHA31",24527,19449
"CHA31post",16220,13963
"CHA3post",8779,7868
"CHA4",6208,5623
"CHA4post",16927,13895
"CHA5",6796,6433
"CHA5post",14025,12678
"CHA6",13786,11470
"CHA6post",10710,9574
"CHA7",13926,12012
"CHA7post",9305,8263
"CHA8",10509,8972
"CHA8post",11051,9956
"CHA9",12288,10660
"CHA9post",8108,7386
"CHABILGE",17971,11349
"CHABILGEpost",31328,25476
"CHABlank",63646,63231
"CHABlankpost",43283,42373
"DS1FALLzymo1",14231,12361
"DS1FALLzymo10",8671,7638
"DS1FALLzymo11",14590,12517
"DS1FALLzymo12",17358,15162
"DS1FALLzymo13",25327,21898
"DS1FALLzymo14",16257,14310
"DS1FALLzymo15",18504,16512
"DS1FALLzymo16",13853,12165
"DS1FALLzymo18",27813,23939
"DS1FALLzymo19",15361,12139
"DS1FALLzymo2",19987,17482
"DS1FALLzymo20",24222,20246
"DS1FALLzymo21",4574,4409
"DS1FALLzymo22",19183,15894
"DS1FALLzymo23",13532,12966
"DS1FALLzymo24",17419,14267
"DS1FALLzymo25",18390,16233
"DS1FALLzymo26",27958,24989
"DS1FALLzymo27",16342,14599
"DS1FALLzymo28",16536,12638
"DS1FALLzymo29",15365,12837
"DS1FALLzymo3",21529,18201
"DS1FALLzymo30",19449,15015
"DS1FALLzymo31",23134,19120
"DS1FALLzymo32",28633,21331
"DS1FALLzymo4",24879,20720
"DS1FALLzymo5",18003,15724
"DS1FALLzymo6",27352,24537
"DS1FALLzymo7",14264,13084
"DS1FALLzymo8",132,132
"DS1FALLzymo9neg1",18543,17683
"DS1FALLzymo9neg2point02",5496,5418
"DS1FALLzymo9x250mL",13891,11968
"DS1FALLzymoBILGE",5061,4984
"DS1FALLzymoBROWN",16976,14374
"EUM1",21049,17040
"EUM10",28972,20569
"EUM10post",34464,22366
"EUM11",34351,27158
"EUM11post",31598,24825
"EUM12",31964,25812
"EUM12post",20122,16371
"EUM13",24808,20224
"EUM13post",19633,16091
"EUM14",20823,15620
"EUM14post",13041,11243
"EUM15",22985,18844
"EUM15post",13080,11262
"EUM16",20469,17128
"EUM16post",11682,9829
"EUM17",35372,27373
"EUM17post",33254,30309
"EUM18",1411,1381
"EUM18post",24840,20078
"EUM19",36012,27988
"EUM19post",4270,3964
"EUM1post",29434,20565
"EUM2",14495,10400
"EUM20",32755,26258
"EUM20post",23579,18181
"EUM21",32967,26464
"EUM21post",14761,11707
"EUM22",40201,32742
"EUM22post",27535,22373
"EUM23",27044,21890
"EUM23post",23185,17915
"EUM24",39091,30783
"EUM24post",27454,20236
"EUM25",22178,17490
"EUM25post",25026,18485
"EUM26",21900,16876
"EUM26post",21697,17107
"EUM27",15260,12051
"EUM27post",13009,11190
"EUM28",15935,13087
"EUM28post",18359,15243
"EUM29",19340,14592
"EUM29post",17063,14326
"EUM2post",15494,10773
"EUM3",10697,8860
"EUM30",17654,13643
"EUM30post",40209,32327
"EUM39",28669,23048
"EUM39post",27003,23038
"EUM3post",29766,23042
"EUM4",25308,17780
"EUM4post",642,625
"EUM5",25838,20539
"EUM5post",27536,20798
"EUM6",29618,22221
"EUM6post",40016,29048
"EUM7",30413,22815
"EUM7post",33532,25554
"EUM8",32243,22690
"EUM8post",39051,26095
"EUM9",32090,23364
"EUM9post",30778,21928
"EUMBILGE",393,393
"EUMBILGEpost",41555,35461
"EUV1",11238,9331
"EUV10",13868,12079
"EUV10post",11928,8570
"EUV11",15855,12793
"EUV11post",30715,19028
"EUV13",23882,18554
"EUV13post",24689,16560
"EUV15",17231,15163
"EUV15post",30548,21769
"EUV16",18667,16314
"EUV16post",20599,15243
"EUV18",21533,17920
"EUV18post",28632,22784
"EUV19",20463,16706
"EUV19post",7094,6387
"EUV1post",26308,20498
"EUV20",17307,15001
"EUV20post",13464,10961
"EUV21",7563,7028
"EUV21post",13195,11338
"EUV22",6786,6433
"EUV22post",9400,8567
"EUV23",23788,19178
"EUV23post",22332,17042
"EUV24",20058,16195
"EUV24post",22453,17905
"EUV25",13066,10890
"EUV25post",23255,18907
"EUV26",18869,15381
"EUV26post",28274,20633
"EUV27",26327,20843
"EUV27post",18814,13763
"EUV28",17504,15168
"EUV28post",24221,18492
"EUV29",20221,16674
"EUV29post",20684,16756
"EUV2one",20254,18024
"EUV2onepost",22209,17973
"EUV2two",17239,13968
"EUV2twopost",17387,13650
"EUV3",33554,27097
"EUV30",21317,16338
"EUV30post",26266,18546
"EUV3post",19669,16325
"EUV4",20140,17150
"EUV4post",17899,14820
"EUV5",26850,22709
"EUV5post",16480,14428
"EUV6",14754,13704
"EUV6post",16348,14306
"EUV7",11648,10201
"EUV7post",14051,11357
"EUV8",18518,15738
"EUV8post",17111,14249
"EUV9",10245,9272
"EUV9post",23380,14832
"EUVBILGE",7603,5884
"EUVBILGEpost",13519,12171
"GAL1",22068,18878
"GAL10",1454,1423
"GAL10post",22863,22090
"GAL11",12398,10376
"GAL11post",612,575
"GAL12",15990,14278
"GAL12post",12793,10876
"GAL13",26731,21747
"GAL13post",17926,14097
"GAL14",20636,17614
"GAL14post",15550,12539
"GAL15",25624,20127
"GAL15post",16888,13740
"GAL16",25067,19649
"GAL16post",4601,4368
"GAL17",21080,16660
"GAL17post",16530,13158
"GAL18",20895,18319
"GAL18post",19699,15765
"GAL19",20077,19570
"GAL19post",13187,11264
"GAL1post",18046,14819
"GAL2",14791,13292
"GAL20",16562,14099
"GAL20post",18148,15159
"GAL21",17504,17157
"GAL21post",17348,15213
"GAL22",13332,13277
"GAL22post",13200,11858
"GAL23",17690,17356
"GAL23post",16156,13075
"GAL24post",4871,4646
"GAL25",20398,16508
"GAL25post",14950,13349
"GAL26",21853,18362
"GAL26post",11375,10667
"GAL27",23786,19449
"GAL27post",18674,16928
"GAL2post",9410,8222
"GAL3",14992,12409
"GAL3post",16446,13529
"GAL4",22463,18738
"GAL4post",16244,12451
"GAL5",15655,13208
"GAL5post",12263,9686
"GAL6",14964,12176
"GAL6post",13133,10523
"GAL7",11647,10181
"GAL7post",7547,6251
"GAL8",15989,14007
"GAL8post",7716,6886
"GAL9",11706,10042
"GAL9post",13699,11180
"GALBlankA",27550,25967
"GALBlankB",23856,23300
"GBFALLzymo1",15321,12152
"GBFALLzymo10",17404,14061
"GBFALLzymo11",39224,27948
"GBFALLzymo12",17336,13398
"GBFALLzymo13",24230,19640
"GBFALLzymo14",10876,9118
"GBFALLzymo15",22899,17496
"GBFALLzymo16",13199,10972
"GBFALLzymo16point5",19986,16474
"GBFALLzymo17",8433,7391
"GBFALLzymo17point5",12939,10967
"GBFALLzymo19",13926,11416
"GBFALLzymo2",15299,12064
"GBFALLzymo20",18592,14837
"GBFALLzymo21",19142,16089
"GBFALLzymo22",24823,21567
"GBFALLzymo24",20284,14670
"GBFALLzymo25",17217,16462
"GBFALLzymo26",19395,15858
"GBFALLzymo27",20184,15371
"GBFALLzymo28",13025,11580
"GBFALLzymo29",18769,15345
"GBFALLzymo3",15330,11701
"GBFALLzymo31",1868,1823
"GBFALLzymo32",25071,21226
"GBFALLzymo33",14611,12116
"GBFALLzymo4",20924,16342
"GBFALLzymo5",18477,15068
"GBFALLzymo5point03",17749,14024
"GBFALLzymo6",10608,8881
"GBFALLzymo6point03",25375,19337
"GBFALLzymo7",1445,1367
"GBFALLzymo7point03",13410,10770
"GBFALLzymo8",16201,13748
"GBFALLzymo9",15556,13332
"GBFALLzymoBILGE",18737,18139
"KEW1FALLzymo1",20334,18054
"KEW1FALLzymo10",20801,16988
"KEW1FALLzymo11",18375,15100
"KEW1FALLzymo12",20241,16754
"KEW1FALLzymo13",10459,8977
"KEW1FALLzymo14",18049,13652
"KEW1FALLzymo15",15610,12464
"KEW1FALLzymo16",23026,18708
"KEW1FALLzymo17",16429,12757
"KEW1FALLzymo18",17208,13939
"KEW1FALLzymo19",14323,11578
"KEW1FALLzymo2",30904,27743
"KEW1FALLzymo20",28455,21947
"KEW1FALLzymo21",11478,9430
"KEW1FALLzymo22",3413,3406
"KEW1FALLzymo23",20789,16846
"KEW1FALLzymo24",24179,19796
"KEW1FALLzymo25",38213,33741
"KEW1FALLzymo26",16131,14523
"KEW1FALLzymo27",19612,16077
"KEW1FALLzymo28",24397,19682
"KEW1FALLzymo3",21365,16997
"KEW1FALLzymo30",18909,16636
"KEW1FALLzymo31",12487,10380
"KEW1FALLzymo32",12792,11119
"KEW1FALLzymo33",11002,9554
"KEW1FALLzymo34",448,432
"KEW1FALLzymo35",20267,16696
"KEW1FALLzymo36",13475,12894
"KEW1FALLzymo37",11213,9976
"KEW1FALLzymo4",14358,10993
"KEW1FALLzymo5",12029,9524
"KEW1FALLzymo6",20415,16306
"KEW1FALLzymo7",14788,12605
"KEW1FALLzymo8",18628,15089
"KEW1FALLzymo9",12128,10728
"NegH20Control2",433,427
"NegH20Control3",290,285
"NY1",16222,13098
"NY10",1237,1169
"NY10post",14178,10147
"NY11",10936,9452
"NY11post",703,677
"NY12",13535,10951
"NY12post",13947,10273
"NY13",11281,9707
"NY13post",9066,7062
