"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",46,0.604008744695018,0.998861581405374,0.824121270806621,0.974479876362254,0.973124595101938,0.974492900617901,0.974767857142857,0.998656181458907,0.978675264550265,0.998667953682843,0.978675264550265,0.974767857142857,0.0487239938181127,0.986712019300882,0.0409040904563632,0.00120622826386627,0.00876979026595503,0.0129820336698471,0.0136718990113891,0.0131731124089577,0.0128705377641016,0.000684079915531924,0.0101893195211431,0.000674648526929658,0.0101893195211431,0.0128705377641016,0.000649101683492353,0.00677586756100232
"2",240,0.526533635396146,0.997371796473743,0.812110184100589,0.934191188272208,0.930696326065052,0.933587842712843,0.934061507936508,0.996536437506381,0.944941798941799,0.996568095891844,0.944941798941799,0.934061507936508,0.0467095594136104,0.965298972721444,0.0523131681822588,0.00229197953553217,0.0142695567618799,0.0203842662760598,0.0214664986773525,0.0202222749662107,0.020336797389187,0.00107334615398683,0.0162204433972747,0.00106255154480703,0.0162204433972747,0.020336797389187,0.00101921331380299,0.0107032752558629
"3",341,0.533423782875976,0.99643390698172,0.805313112040947,0.920771336916677,0.916567068071397,0.919636197136197,0.920646825396825,0.995831241680693,0.932337962962963,0.995866806947761,0.932337962962963,0.920646825396825,0.0460385668458339,0.958239033538759,0.0600610221357857,0.00317188513432909,0.017283731694758,0.0229889802904292,0.0242059044135852,0.022827674427836,0.0229921306348245,0.00120989865322637,0.0195597828941502,0.00120197025281326,0.0195597828941501,0.0229921306348245,0.00114944901452146,0.0120984500463201
