"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",17,1.0330855966706,0.982189990495448,0.703881320542379,0.80333097996858,0.792889932766848,0.796322379417968,0.801333333333333,0.989651650949175,0.81976455026455,0.989735688371929,0.81976455026455,0.801333333333333,0.040166548998429,0.895492492141254,0.0732593568367644,0.00599848686223985,0.0293790334102947,0.0354645744173278,0.0373444062078806,0.0369385619298272,0.0352112410434043,0.00186702512921478,0.0352143861954617,0.00185507733580503,0.0352143861954617,0.0352112410434043,0.00177322872086639,0.0185356199671269
"2",29,1.01723629938118,0.980577537731647,0.689549893663232,0.779552047842093,0.767845538627989,0.772415220944633,0.7775,0.988399171155011,0.797448472823473,0.988487288388436,0.797448472823473,0.7775,0.0389776023921046,0.882949585577506,0.0750166034548959,0.00624648092102218,0.0304049241157454,0.0405542534273345,0.0427011350818179,0.042362334437659,0.0405441089591056,0.00213389792866,0.0404860694147691,0.00212040146208454,0.040486069414769,0.0405441089591056,0.00202771267136672,0.0213350589650558
"3",36,1.03648473672498,0.979447975774585,0.681719705834087,0.767759812428489,0.755431332817689,0.760025106157459,0.765569444444444,0.987779259559506,0.784784090909091,0.987871055295612,0.784784090909091,0.765569444444444,0.0383879906214245,0.876674352001975,0.105347127405818,0.006343630649625,0.030602456292002,0.0410867530400109,0.0432557569713571,0.0430560130589346,0.0410868991214146,0.00216086327191512,0.0409293361047222,0.00214754136018709,0.0409293361047222,0.0410868991214146,0.00205433765200055,0.0216197222305894
