"","mtry","logLoss","Accuracy","Mean_Precision","Mean_Recall","logLossSD"
"Phylum",19,0.589281614477733,0.841501139912388,0.854606721981722,0.83943253968254,0.095669618719196
"Class",27,0.443982762481472,0.912420871767878,0.925664682539682,0.912232142857143,0.084805654146923
"Order",63,0.28712688049283,0.965491101076019,0.970339285714286,0.965140873015873,0.0353417854610717
"Family",113,0.254113639705061,0.977594137194308,0.980794973544974,0.977077380952381,0.0365221848857721
"Genus",361,0.135226197787388,0.978067378395256,0.981063492063492,0.977847222222222,0.0295581647070726
"ASV",2039,0.101282587515574,0.994781130617749,0.995476190476191,0.995,0.0508504449341935
