"","mtry","logLoss","Accuracy","Mean_Precision","Mean_Recall","logLossSD"
"Phylum",18,0.334217862433681,0.909916250301325,0.910917992243534,0.903757295537695,0.0424715322349115
"Class",18,0.265614097497076,0.955312781105159,0.955689869206785,0.953680167852582,0.0324590037138951
"Order",64,0.161819488438027,0.983007325876782,0.982461652877002,0.983747107231681,0.0206804322751853
"Family",122,0.128681500709104,0.9827701224081,0.983008812315052,0.982347228223816,0.0233286409392286
"Genus",340,0.0743764915435622,0.989307429461641,0.989497767671118,0.990569853753157,0.016239166434912
"ASV",1669,0.0451488167961161,0.995350379591047,0.994979946431559,0.995393330068466,0.00992185957639597
