"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",220,0.232599820283985,0.998870550341613,0.95129580051046,0.980575226202656,0.975242084269074,0.981383895562815,0.982884366087633,0.995084822170779,0.98077313902762,0.994932226299903,0.98077313902762,0.982884366087633,0.196115045240531,0.988984594129206,0.0212793292983998,0.00127869239171182,0.00558295837708829,0.00997767459211638,0.0127211503903919,0.00968992013139445,0.0095582307783631,0.00256462053555552,0.00984632202011106,0.00258022013608144,0.00984632202011106,0.0095582307783631,0.00199553491842328,0.00603737723476349
"2",415,0.211767975192146,0.998530803157848,0.950559816100049,0.977022944606334,0.97071722166631,0.977597673572448,0.979491861838504,0.994212084450186,0.976874005552937,0.994032769482132,0.976874005552937,0.979491861838504,0.195404588921267,0.986851973144345,0.0230744845141092,0.0014138519108713,0.00546632287828884,0.0129467101733914,0.0165020819899719,0.0126834517642758,0.01252250362529,0.00331869763661097,0.0127121666235018,0.00333257947877556,0.0127121666235018,0.01252250362529,0.00258934203467827,0.00789328461455333
"3",446,0.20998834084677,0.99848638329112,0.949679479488048,0.977018465222697,0.970708509810119,0.977440354673369,0.979326169830707,0.994214133129449,0.97670061018961,0.994040438119303,0.97670061018961,0.979326169830707,0.195403693044539,0.986770151480078,0.0235196752924162,0.00139826888688364,0.00663616416154048,0.0122228579471217,0.0155889795804077,0.0119974198327396,0.0121067429441544,0.00315592514399992,0.0120372331484509,0.00313805550001119,0.0120372331484509,0.0121067429441544,0.00244457158942434,0.00760442347456985
