"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",1360,0.15959573505754,0.999553301030835,0.947314476475471,0.981430478106456,0.976282835837744,0.981153013218256,0.980368939590355,0.995187021565727,0.982944861840845,0.995363836714598,0.982944861840845,0.980368939590355,0.196286095621291,0.987777980578041,0.0211578233943266,0.000478352427078596,0.00785390212147878,0.0141904404295686,0.0181757278716635,0.0143201275308035,0.0156096759533205,0.00374018207228611,0.0127532250919545,0.00354653468943779,0.0127532250919545,0.0156096759533205,0.00283808808591373,0.00965411145746057
"2",5197,0.164973122304394,0.998667840052875,0.895062308512285,0.959787922948064,0.948538054942738,0.959696917025173,0.955799959669288,0.98927853160934,0.965938561579527,0.990111597249042,0.965938561579527,0.955799959669288,0.191957584589613,0.972539245639314,0.0268278128891125,0.00103313906641427,0.0244758713685893,0.0166972229805459,0.0214615595250092,0.0167132238999803,0.0183480035611245,0.00446433035396192,0.014924903305805,0.00413081980515649,0.014924903305805,0.0183480035611245,0.00333944459610919,0.0113706706859145
"3",6714,0.168563403432224,0.998353321353007,0.86236615749046,0.952403509374413,0.93905236762561,0.952171526902541,0.947303286953015,0.98729063306408,0.960216303496172,0.988338063410086,0.960216303496172,0.947303286953015,0.190480701874883,0.967296960008548,0.0286853073581783,0.00134740284735222,0.0361591637850176,0.0173326485834164,0.0222747941899043,0.017495534450218,0.0193733311277374,0.00464111908196352,0.0152695401668241,0.00425774111769753,0.0152695401668241,0.0193733311277374,0.00346652971668328,0.0119700044110695
