"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",99,0.336631686279106,0.996693476161216,0.944137772623955,0.951317381042488,0.93786779188237,0.950663101712451,0.949387088410682,0.987454379242558,0.9544368601932,0.987766230263171,0.9544368601932,0.949387088410682,0.190263476208498,0.96842073382662,0.0244489294556338,0.00153788227845405,0.00554820451882565,0.0149918625426852,0.0190896572268128,0.0152252381994113,0.0145887891932284,0.00374029018989667,0.0163776294901655,0.00389050203722349,0.0163776294901655,0.0145887891932284,0.00299837250853704,0.00909287900192849
"2",135,0.330559465437705,0.995540762482014,0.940628858974544,0.940629439476912,0.924277781599224,0.94000842412214,0.939609838773178,0.984788796565274,0.943432742277451,0.984982187432104,0.943432742277451,0.939609838773178,0.188125887895382,0.962199317669226,0.0247947478734072,0.00199634335578151,0.00703186133748395,0.0181269423043813,0.0230285764726584,0.0179862580823312,0.017249727875162,0.0045509733290733,0.0191277624784102,0.00471750354619603,0.0191277624784102,0.017249727875162,0.00362538846087627,0.0108321253104293
"3",141,0.330066697810035,0.995270777461225,0.940547389173109,0.939811914329028,0.9232137635652,0.939219345541967,0.938503596155139,0.984546721943565,0.943083339425738,0.98480222095405,0.943083339425738,0.938503596155139,0.187962382865806,0.961525159049352,0.0254950728197701,0.0022210141427703,0.00665665327849661,0.0185682232090343,0.0236185332782371,0.0187072544010487,0.0184824349998805,0.00466353623038441,0.0190673129599787,0.0047842123223112,0.0190673129599787,0.0184824349998805,0.00371364464180686,0.0115037439418138
