"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",1,1.06567338122986,0.928299585964535,0.769234545788806,0.602055182518361,0.466572095199597,0.530414711164316,0.523482854646194,0.891066361249732,0.773529801349095,0.907722962151286,0.773529801349095,0.523482854646194,0.120411036503672,0.707274607947963,0.0312012623265902,0.0137446019932269,0.0315319861828816,0.0385444455775384,0.0539573268084222,0.0505982403019301,0.0432668123982309,0.0107311561043718,0.0498444378937039,0.00974564869294546,0.0498444378937039,0.0432668123982309,0.00770888911550767,0.0269134838626272
"2",24,0.669995265626114,0.963538922181086,0.848639198012648,0.808982164709874,0.755357201991398,0.805208146368591,0.800147850469085,0.950543935406185,0.818647209054894,0.951839912857762,0.818647209054894,0.800147850469085,0.161796432941975,0.875345892937635,0.0459320101634144,0.0101786490668869,0.0294679200575178,0.0385899126786047,0.0492085673460264,0.039413591624216,0.0385169925806622,0.00982386883463179,0.0403426477333231,0.0100243300484625,0.0403426477333231,0.0385169925806622,0.00771798253572094,0.0240698980024722
"3",33,0.666395518669293,0.960906842105662,0.840352507309601,0.80295702104833,0.747768085663369,0.798402641290896,0.794722591920414,0.949113049021633,0.810208788083898,0.950294431605528,0.810208788083898,0.794722591920414,0.160591404209666,0.871917820471023,0.0494999067191051,0.0111297048722073,0.0314038692547369,0.0440910270193256,0.0563756073911285,0.0465136772599997,0.0456926201400734,0.0112438833717631,0.0470547138933467,0.0112574955612823,0.0470547138933467,0.0456926201400734,0.00881820540386511,0.0283878461063577
