"","mtry","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",19,0.509767474167514,0.990450362185193,0.92649108631916,0.909700454069979,0.884660376451546,0.910697363803802,0.908841452289728,0.97655366897271,0.917055988467069,0.977087211335727,0.917055988467069,0.908841452289728,0.181940090813996,0.942697560631219,0.0297667040211589,0.00422531913412677,0.0122887726191458,0.0253836527839386,0.0324570198337749,0.0257102065618857,0.0262117046883136,0.00657314003122386,0.0249969640600805,0.00648121154200629,0.0249969640600805,0.0262117046883136,0.00507673055678772,0.0163269691515973
"2",20,0.505682323388887,0.99043383915977,0.925951229882813,0.908047524791736,0.882536063495017,0.909558415784273,0.907432642909957,0.976087868555621,0.916125113761334,0.976604367737313,0.916125113761334,0.907432642909957,0.181609504958347,0.941760255732789,0.029934761314662,0.00428176773040653,0.0126324660342464,0.0251829273266751,0.0322060549063969,0.0247141279407685,0.0253466705471379,0.00659015299261603,0.0239300080085305,0.00651667671285067,0.0239300080085305,0.0253466705471379,0.00503658546533502,0.0158957266348406
"3",66,0.466682338437583,0.983190112529779,0.90223599924581,0.863192445703078,0.825209726917617,0.861518963902167,0.860485591373069,0.964742137577695,0.869952522349544,0.965382194480568,0.869952522349544,0.860485591373069,0.172638489140616,0.912613864475382,0.0380127205906986,0.00547419956574872,0.0161148516004885,0.0346274644775594,0.0444107602583709,0.0348327492305924,0.0359544084999757,0.0091514588035834,0.0326996889416601,0.00884415456062677,0.0326996889416601,0.0359544084999757,0.00692549289551187,0.0224591895565514
